,betaInP,omega,gen,w,dist
0,0.011367308120411868,0.006001216872530746,0,0.002,1048865
0,0.8482411463861232,0.01850054329777917,0,0.002,3822494
0,0.643167776451073,0.06531709753682512,0,0.002,15701360
0,0.48717626710796247,0.06594411710334168,0,0.002,15465472
0,0.4409007124630292,0.08715822093390752,0,0.002,18939376
0,0.9434766000937297,0.06169083763050559,0,0.002,15088135
0,0.2889403210768149,0.07662036153549914,0,0.002,17344148
0,0.5679385558391895,0.04842197246727334,0,0.002,11778135
0,0.25742279577673655,0.020643656661772303,0,0.002,4344493
0,0.22254513731303516,0.07965056771307731,0,0.002,17833192
0,0.1051787011731089,0.017694777992392875,0,0.002,3429060
0,0.2133955154153956,0.049115508339496065,0,0.002,11740187
0,0.9078780289132392,0.09467124945906083,0,0.002,20698025
0,0.6382642710522265,0.046192309533662004,0,0.002,11296994
0,0.9308215902358383,0.08453932510494902,0,0.002,19200490
0,0.043072463917288695,0.08245979924663846,0,0.002,17909025
0,0.10306250859731914,0.07399909524638537,0,0.002,16535082
0,0.9212537040655299,0.07006396911877168,0,0.002,16660496
0,0.4172881432175326,0.09800471443636198,0,0.002,20689578
0,0.4758889231533383,0.014259793259886966,0,0.002,2695459
0,0.9400093928572302,0.03437593607810607,0,0.002,8344586
0,0.05130810074963277,0.09178202353895067,0,0.002,19405386
0,0.633058181183525,0.09830109994278147,0,0.002,20894337
0,0.875919164110565,0.09106439525922905,0,0.002,20131029
0,0.04245900506808353,0.0257019954570468,0,0.002,5505121
0,0.638027909956504,0.025628929437420248,0,0.002,5723917
0,0.8683652988605227,0.021901941859012786,0,0.002,4877400
0,0.5853310410614978,0.05976429634707443,0,0.002,14506072
0,0.43802514705947027,0.046348213884261524,0,0.002,11299221
0,0.9528411271484278,0.09837703291025761,0,0.002,21010583
0,0.4726133134939331,0.014678968416763772,0,0.002,2768794
0,0.2365256762240563,0.07789398671670936,0,0.002,17529747
0,0.5279597885546387,0.06592664038404443,0,0.002,15552262
0,0.23342580716840955,0.09589353607087826,0,0.002,19975283
0,0.321214294594531,0.04814439922324322,0,0.002,11593270
0,0.9521253047770095,0.03395550655652194,0,0.002,8193416
0,0.4138991481901273,0.07911863058298574,0,0.002,17620003
0,0.37746814104918236,0.09632929838051651,0,0.002,20269679
0,0.3703475210012769,0.08737593635033064,0,0.002,19098851
0,0.7742022652960826,0.05743307412280431,0,0.002,14014945
0,0.1795882073262921,0.07737665854734434,0,0.002,17328430
0,0.009859794655669551,0.0746372441515818,0,0.002,16689354
0,0.9711641102904544,0.043382007649225764,0,0.002,10737048
0,0.6668904862510686,0.03900756140238283,0,0.002,9454168
0,0.5758233380094608,0.007270332909149269,0,0.002,1368913
0,0.9786242187233692,0.07151152573087166,0,0.002,16993100
0,0.008128210750213083,0.07950857080908601,0,0.002,17635075
0,0.2023180737194411,0.0002904949084569064,0,0.002,796283
0,0.3139145005537468,0.09418618405700571,0,0.002,20021999
0,0.5281621728366559,0.07906677441367391,0,0.002,18087374
0,0.6549214869549169,0.007474115458933406,0,0.002,1415878
0,0.20677109771120716,0.0880465375954855,0,0.002,19152394
0,0.3073038883411128,0.04541548616989626,0,0.002,10865421
0,0.0246362644196656,0.00753518401982145,0,0.002,1301753
0,0.7050315997858447,0.04702968690454143,0,0.002,11613651
0,0.11132254552842769,0.03843537237016247,0,0.002,8962210
0,0.8730066889940111,0.03965032223576236,0,0.002,9743946
0,0.6312616828520529,0.0857979049794077,0,0.002,19138031
0,0.011777912654927336,0.03420459660525178,0,0.002,7820544
0,0.46489367125604864,0.06279615088517361,0,0.002,15044843
0,0.9664174822669104,0.06165955944283305,0,0.002,15107398
0,0.9067734284394215,0.05062141514282097,0,0.002,12414121
0,0.6670570324320422,0.04146074645692974,0,0.002,10008225
0,0.4812190226040759,0.058444326843624717,0,0.002,14143413
0,0.340519578648804,0.05812014808294194,0,0.002,13933908
0,0.7780310234317779,0.03473997994130523,0,0.002,8330883
0,0.043175862410604005,0.018132692573599462,0,0.002,3542707
0,0.5275528056859321,0.06655103627885603,0,0.002,15520349
0,0.44901461371955165,0.06469621932909206,0,0.002,15206017
0,0.1500577733706283,0.00735196238271687,0,0.002,1305649
0,0.3266817289832208,0.004410664398710096,0,0.002,974185
0,0.44038171451150965,0.005062335409391306,0,0.002,1024657
0,0.021817206305509318,0.04341872872373601,0,0.002,10260217
0,0.6916478991923702,0.013101269499763368,0,0.002,2470818
0,0.7449367437045988,0.031083548244610695,0,0.002,7321191
0,0.7540675509232815,0.08437145749165587,0,0.002,18894666
0,0.814016771032246,0.005351524026381594,0,0.002,1080651
0,0.5535196573528524,0.01882526973195822,0,0.002,3871702
0,0.8983603933802463,0.09891122103080768,0,0.002,21209883
0,0.07177465246463832,0.06733866651983221,0,0.002,15457728
0,0.7932370015411949,0.08857549194961953,0,0.002,19730902
0,0.926938830279005,0.07665372472237811,0,0.002,17678522
0,0.13361257225641443,0.0914246423449233,0,0.002,19334313
0,0.6066176333072114,0.044205513929390844,0,0.002,10743493
0,0.6804745832550303,0.051104875391169736,0,0.002,12620651
0,0.15043243015774455,0.09732368875253271,0,0.002,20103943
0,0.7820885781571391,0.044213646586603685,0,0.002,10861350
0,0.040576979417712544,0.017354724931487275,0,0.002,3363425
0,0.16133332940104683,0.006711061571823763,0,0.002,1187697
0,0.7525937794861286,0.029908164137803575,0,0.002,7061169
0,0.6689499996926788,0.07574386546301559,0,0.002,17346323
0,0.5342227101571849,0.016184360798690147,0,0.002,3109058
0,0.9170727227610455,0.0942953089859927,0,0.002,20573596
0,0.36841562484397905,0.08489311525137,0,0.002,18653528
0,0.7973686606587593,0.06663033628803304,0,0.002,15772465
0,0.8601699060231606,0.016504439886491973,0,0.002,3373194
0,0.18478092809142455,0.09205502826536865,0,0.002,19724272
0,0.6796330139730924,0.031247152794118816,0,0.002,7481771
0,0.7231167437841488,0.07314843765270937,0,0.002,17134152
0,0.6988509551370282,0.013406923359504065,0,0.002,2539901
0,0.0122427516328949,0.05182719122415769,0,0.002,12142033
0,0.7287327509767957,0.08952810931617693,0,0.002,19538116
0,0.9488359371133267,0.06574681095806117,0,0.002,15896736
0,0.20272725709053385,0.005268391211060087,0,0.002,994586
0,0.6418035337268779,0.0592174478653264,0,0.002,14470929
0,0.9788046097162169,0.00509321529584409,0,0.002,1109425
0,0.8442317660888667,0.08505730839187149,0,0.002,19018793
0,0.5955195549687615,0.015378738262513948,0,0.002,2947504
0,0.28937144037133833,0.0956917474078015,0,0.002,20104778
0,0.5691878085443699,0.057165084618443884,0,0.002,13987949
0,0.6942989688681769,0.09889056735361967,0,0.002,20958590
0,0.5880235502032349,0.07880223151350463,0,0.002,17914419
0,0.8611093260706679,0.041522017886395285,0,0.002,10254472
0,0.2961640249960572,0.02538005245647436,0,0.002,5565016
